Soil_pH,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Rainfall_mm,Temperature_C,Humidity_percent,Recommended_Crop
6.5,50,20,30,100,25,80,Wheat
7.0,45,25,35,200,28,85,Rice
5.8,60,18,28,150,22,70,Maize
6.2,70,22,32,120,27,75,Barley
7.5,55,30,40,300,30,90,Sugarcane
6.3,62,23,33,180,26,82,Cotton
6.8,48,26,36,220,29,78,Oats
5.9,67,21,31,140,23,76,Peas
7.1,59,28,38,160,31,88,Soybean
6.7,53,24,34,210,24,81,Tomato
6.4,65,27,37,250,28,83,Potato
7.0,50,22,33,190,26,84,Groundnut
6.1,60,19,30,170,25,79,Chili
6.9,55,25,35,230,29,77,Onion
6.6,63,21,32,180,30,85,Garlic
6.5,58,24,36,200,27,80,Wheat
7.2,60,27,37,210,28,78,Rice
6.3,54,26,39,170,26,75,Maize
6.0,62,25,35,220,29,80,Barley
6.4,67,21,34,240,31,83,Sugarcane
7.1,64,23,38,210,30,82,Cotton
6.8,59,22,40,180,29,79,Oats
6.7,55,23,35,170,26,85,Peas
6.5,61,22,36,160,25,87,Soybean
6.2,66,24,37,220,27,80,Tomato
